branch_ID;branch_order;segment_ID;parent_segment_ID;growth_volume;growth_length;detection;improvement;startX;startY;startZ;endX;endY;endZ;radius;length;species;ID;length_to_leave; inverse_branch_order; length_of_segment;branch_order_cum; cylinder_ID; cylinder_parent_ID; reverse_pipe_order;Allometric_improved;length_to_root;tree_ID; volume (m^3); length (m); height (m); DBH (cm); DBH_taper_linear (cm); cut_height (m);x_position;y_position; cylinder_children_id;segment_children_id
-1;0;0;-1;12.1169;846.878;spherefollowing;NO;31.794;-29.7533;-11.3151;32.0548;-29.8418;-10.3659;0.608071;0.98831;unknown species;17-02 S1 barrer gh3 for QSM.txt;25.6678;7;1.89375;2124;0;-1;33.1813;NO_ALLOM;2.29662;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;1_;1_1854_
-1;0;0;-1;10.9689;845.89;spherefollowing;NO;32.0548;-29.8418;-10.3659;32.0854;-29.7045;-9.47148;0.544265;0.905439;unknown species;17-02 S1 barrer gh3 for QSM.txt;24.7299;7;1.89375;2124;1;0;33.1813;NO_ALLOM;3.11919;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;2_10106_;1_1854_
-1;0;1;0;8.98137;724.958;spherefollowing;NO;32.0854;-29.7045;-9.47148;32.1997;-29.6112;-8.76342;0.504764;0.723265;unknown species;17-02 S1 barrer gh3 for QSM.txt;23.8966;7;1.72403;1853;2;1;31.0161;ALLOM_TAPER;3.66028;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;3_;2_1853_
-1;0;1;0;8.40243;724.234;spherefollowing;NO;32.1997;-29.6112;-8.76342;32.4979;-28.8893;-8.13775;0.467008;1.00076;unknown species;17-02 S1 barrer gh3 for QSM.txt;23.0722;7;1.72403;1853;3;2;31.0161;NO_ALLOM;4.93853;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;4_10089_;2_1853_
-1;0;2;1;7.71615;720.162;spherefollowing;NO;32.4979;-28.8893;-8.13775;32.4744;-28.602;-7.57209;0.449906;0.634891;unknown species;17-02 S1 barrer gh3 for QSM.txt;22.2186;7;1.43215;1851;4;3;31;ALLOM_TAPER;5.20756;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;5_;3_914_
-1;0;2;1;7.31242;719.527;spherefollowing;NO;32.4744;-28.602;-7.57209;32.8494;-28.6164;-6.8687;0.439336;0.797263;unknown species;17-02 S1 barrer gh3 for QSM.txt;21.5329;7;1.43215;1851;5;4;31;NO_ALLOM;6.16719;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;6_5342_;3_914_
-1;0;3;2;4.31205;376.354;spherefollowing;NO;32.8494;-28.6164;-6.8687;32.9183;-28.7036;-6.31344;0.394991;0.566279;unknown species;17-02 S1 barrer gh3 for QSM.txt;22.0667;5;1.34485;911;6;5;21.7486;ALLOM_TAPER;6.50249;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;7_;4_904_
-1;0;3;2;4.03448;375.787;spherefollowing;NO;32.9183;-28.7036;-6.31344;32.7928;-28.559;-5.55879;0.391407;0.778572;unknown species;17-02 S1 barrer gh3 for QSM.txt;21.4054;5;1.34485;911;7;6;21.7486;NO_ALLOM;7.49335;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;8_5297_;4_904_
-1;0;4;3;3.60487;368.171;spherefollowing;NO;32.7928;-28.559;-5.55879;33.0521;-28.4217;-5.04985;0.356393;0.587456;unknown species;17-02 S1 barrer gh3 for QSM.txt;20.7157;5;0.587456;900;8;7;21.6102;NO_ALLOM;7.88969;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;9_5256_;5_895_
-1;0;5;4;3.32086;363.735;spherefollowing;NO;33.0521;-28.4217;-5.04985;33.0992;-28.2431;-4.56105;0.34414;0.522518;unknown species;17-02 S1 barrer gh3 for QSM.txt;20.1474;5;2.07066;890;9;8;21.4942;NO_ALLOM;8.34727;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;10_;6_684_894_
-1;0;5;4;3.12646;363.212;spherefollowing;NO;33.0992;-28.2431;-4.56105;33.239;-28.0634;-4.11796;0.331229;0.498171;unknown species;17-02 S1 barrer gh3 for QSM.txt;19.6194;5;2.07066;890;10;9;21.4942;NO_ALLOM;8.82109;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;11_;6_684_894_
-1;0;5;4;2.95475;362.714;spherefollowing;NO;33.239;-28.0634;-4.11796;33.3313;-27.9498;-3.70267;0.278512;0.440325;unknown species;17-02 S1 barrer gh3 for QSM.txt;19.1561;5;2.07066;890;11;10;21.4942;ALLOM_TAPER;9.20357;17-02 S1 barrer gh3 for QSM.txt;12.1169;27.1255;18.2742;108.853;109.189;0.32;31.794;-29.7533;12_;6_684_894_
